data,USD.ARS,USD.VEF,USD.BOB,USD.BRL,USD.CLP,USD.COP,USD.FKP,USD.PYG,USD.GYD,USD.PEN,USD.UYU,USD.SRD
2018-12-05,37.510488,15701660.523985,6.925374,3.858582,671.49473,3169.58259,0.78561,5910.32707,208.477347,3.381996,32.091734,7.456294
2018-12-06,37.622636,16219400.413163,6.920337,3.884084,674.941552,3175.372751,0.78425,5907.211932,208.897444,3.37767,32.017773,7.456214
2018-12-07,37.551449,18811617.96808,6.918612,3.887892,675.180254,3164.734214,0.783959,5911.78042,209.296002,3.37192,32.018216,7.456286
2018-12-08,37.3779,18807870,6.922675,3.907325,674.775,3147.05,0.785472,5913.85,209.545,3.366975,32.0485,7.4565
2018-12-09,37.375733,18808204.748378,6.922675,3.907326,674.778434,3147.037922,0.785546,5913.85,209.545,3.366978,32.0485,7.454875
2018-12-10,37.48558,19432306.546507,6.916634,3.911653,676.45155,3170.545646,0.790034,5913.294984,209.241991,3.370476,32.051074,7.448992
2018-12-11,37.691006,22237324.504837,6.92234,3.913002,680.119675,3185.511443,0.796068,5931.702976,209.295798,3.369079,32.103332,7.449737
2018-12-12,37.715068,25468188.934114,6.925076,3.879874,680.947442,3180.353315,0.795486,5946.507898,209.476777,3.362126,32.128066,7.451115
2018-12-13,37.680696,29381067.027046,6.915015,3.870039,680.040904,3173.522404,0.790969,5938.277126,209.158439,3.35618,32.096844,7.447163
2018-12-14,37.959094,30140990.20839,6.91894,3.899529,683.651152,3186.702506,0.794119,5942.960134,209.486294,3.351845,32.192556,7.450396
2018-12-15,38.16265,30140955,6.916325,3.917775,683.775,3196.425,0.794496,5935.05,209.3425,3.34835,32.2625,7.4515
2018-12-16,38.16176,30140955,6.916325,3.9177399999999998,683.80764,3196.31284,0.794496,5935.05,209.3425,3.348163,32.2625,7.450461
2018-12-17,38.202829,31104373.659171,6.915503,3.909504,685.339678,3189.989434,0.793442,5920.122828,209.209216,3.343909,32.275384,7.450852
2018-12-18,38.25368,34546634.201656,6.917733,3.901089,688.600114,3191.27635,0.790944,5923.255364,209.417432,3.342544,32.3041,7.450993
2018-12-19,38.29626,38845092.366718,6.919666,3.89838,689.5148,3210.328557,0.790572,5930.666973,209.355786,3.347689,32.281406,7.450788
2018-12-20,38.219518,40305051.008332,6.919886,3.871223,690.102654,3234.730331,0.790065,5939.204555,209.21092,3.347942,32.272655,7.451202
2018-12-21,38.022264,44708129.958498,6.920628,3.863938,692.112687,3275.435778,0.790246,5933.181656,208.934726,3.353698,32.275362,7.444989
2018-12-22,37.9711,44704675,6.922275,3.8966,693.5,3294,0.791634,5924.2,208.9025,3.3595,32.27,7.4365
